name,city,category,stars,review_count,price
Philadelphia Italian Kitchen,Philadelphia,Italian,4.7,1320,2
Pittsburgh BBQ Grill,Pittsburgh,BBQ,4.5,980,2
Lancaster Breakfast Table,Lancaster,Breakfast,4.6,430,1
Harrisburg Vegan Bistro,Harrisburg,Vegan,4.4,370,2
State College Pizza House,State College,Pizza,4.3,620,1
Allentown Mexican Corner,Allentown,Mexican,4.2,500,2
Erie Seafood Place,Erie,Seafood,4.5,260,3
Reading Bakery Eatery,Reading,Bakery,4.1,320,1
Scranton American Grill,Scranton,American,4.0,450,2
Bethlehem Thai Kitchen,Bethlehem,Thai,4.6,290,2
